"",Palestine,to,in,...,Palestinian,of,for,the,Israel,on,and,Israeli,The,a,with,at,2016,Palestine:,by,is,UN,Palestinians,Israel-Palestine,New,East,from,Palestine's,after,"Palestine,",over,A,as,Gaza,peace,Texas,West,says,US,In,Bank,killed,Is,Abbas,"Israel,",Today,Peace,support,Israel's,-,be,against,State,will,To,Week,visit,not,new,calls,Sushma,de,state,,flooding,into,President,How,Jerusalem,about,France,Why,'Palestine',conflict,man,World,Jewish,Of,Arab,Israeli-Palestinian,la,EU,talks,Swaraj,This,2015,up,With,Palestine',French,From,After,:,4,arrested,rights,Hamas,team,Greek,Solidarity,On
The,0,207,220,586,0,357,121,617,0,89,222,1,2635,182,25,31,47,0,25,238,0,0,0,66,2,18,0,3,0,7,104,28,0,0,2,6,23,177,100,8,0,240,0,0,1,0,1,1,41,28,4,32,26,121,4,0,27,28,2,0,0,18,40,0,6,8,79,0,28,4,68,0,0,4,31,0,162,0,0,0,13,1,0,18,19,9,24,0,4,18,5,3,6,0,1,0,0,1,0,86
a,0,518,446,532,0,316,424,536,1,147,150,3,182,2312,58,59,40,0,43,248,0,0,0,33,2,41,0,6,0,13,29,95,0,1,1,4,71,160,23,13,0,96,0,0,0,2,0,3,43,89,1,4,62,2,7,1,51,62,4,0,1,8,46,0,12,15,75,0,24,0,83,0,0,1,21,0,0,0,0,0,17,4,0,18,22,29,17,0,3,10,7,1,5,0,0,0,0,3,0,4
with,0,187,114,212,0,64,41,104,1,79,43,0,25,58,724,17,21,0,10,30,1,0,0,5,2,4,0,3,0,4,8,21,0,2,0,0,26,46,3,5,1,3,0,0,0,0,6,1,14,18,2,1,12,0,1,0,11,18,4,0,1,4,13,1,6,3,10,0,7,3,3,0,0,0,10,0,0,0,0,0,8,18,0,1,14,17,1,0,6,2,1,0,7,0,0,0,0,0,0,0
at,0,203,315,200,0,151,58,119,0,65,37,1,31,59,17,1021,46,0,15,36,3,0,0,12,0,10,0,2,0,20,16,53,0,0,0,1,28,132,1,18,0,8,0,0,0,0,0,1,25,14,0,5,8,6,2,0,12,6,4,0,0,11,13,0,4,2,3,0,7,0,2,0,0,1,9,0,1,0,0,0,4,10,0,0,39,11,8,0,10,1,2,0,2,0,0,0,0,0,0,0
2016,0,259,470,102,0,59,141,127,0,50,47,0,47,40,21,46,785,0,26,19,3,0,0,9,0,5,0,8,0,8,3,29,0,0,0,1,39,36,17,21,0,7,0,0,0,0,1,1,61,20,1,2,46,4,1,0,8,5,1,0,1,1,18,0,14,2,11,0,8,4,8,0,0,0,20,0,6,2,0,0,2,2,0,2,11,8,1,0,3,3,1,1,4,0,0,0,0,13,0,1
Palestine:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
by,0,234,251,212,1,85,27,97,0,35,34,2,25,43,10,15,26,0,892,27,3,0,0,11,0,3,0,3,0,7,5,34,0,0,0,3,21,26,0,15,0,6,0,0,0,0,0,1,46,44,2,1,21,0,1,0,21,7,1,0,4,2,15,0,4,4,9,0,4,2,3,0,0,1,7,0,0,2,0,0,21,0,0,1,37,27,0,0,10,1,0,1,12,0,6,0,0,6,0,0
is,0,297,208,427,0,226,229,760,1,127,158,0,238,248,30,36,19,0,27,1797,1,0,0,9,1,14,0,10,0,16,25,54,0,1,3,6,125,122,6,17,0,4,0,0,0,0,3,2,42,25,5,4,13,6,2,0,86,29,0,0,0,16,52,0,12,5,59,0,44,1,88,0,0,4,10,0,1,0,0,0,17,0,0,52,0,14,4,0,6,2,1,1,4,0,2,0,0,4,0,2
UN,0,22,18,4,0,9,10,0,0,1,0,0,0,0,1,3,3,0,3,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,2,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Palestinians,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel-Palestine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New,0,138,84,140,0,52,67,122,0,44,34,0,66,33,5,12,9,0,11,9,0,0,0,545,4,4,0,0,0,3,37,21,0,0,0,0,6,15,8,4,0,16,0,0,0,1,2,0,10,6,1,3,10,10,1,0,0,4,2,0,0,2,4,0,5,6,9,0,8,1,4,0,0,0,1,0,4,0,0,0,1,1,0,1,2,6,6,0,0,4,2,1,0,0,0,0,1,2,0,5
East,0,10,11,10,0,5,6,6,0,4,3,0,2,2,2,0,0,0,0,1,0,0,0,4,39,0,0,0,0,0,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
from,0,155,44,139,0,37,14,125,0,49,29,7,18,41,4,10,5,0,3,14,0,0,0,4,0,492,0,0,0,2,6,8,0,0,1,0,22,27,1,4,0,9,0,0,0,0,0,0,17,16,0,1,19,0,0,0,6,7,0,0,0,4,10,0,8,1,14,0,8,2,4,0,0,0,3,0,1,0,0,0,24,0,0,1,4,7,0,0,4,1,1,2,0,0,1,0,0,0,0,0
Palestine's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
after,0,53,31,61,0,30,39,24,0,20,13,0,3,6,3,2,8,0,3,10,0,0,0,0,0,0,0,252,0,2,4,9,0,0,0,0,12,25,0,0,0,0,0,0,0,0,2,0,7,10,0,0,12,0,0,0,8,1,1,0,0,1,1,0,0,0,2,0,11,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,2,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Palestine,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
over,0,88,49,113,1,41,29,60,0,35,22,0,7,13,4,20,8,0,7,16,0,0,0,3,0,2,0,2,0,476,5,48,0,0,0,0,15,19,1,8,0,2,0,1,0,0,2,0,7,21,1,1,10,1,0,0,3,7,3,0,0,8,4,0,7,2,2,0,3,2,3,0,0,0,6,0,0,1,0,0,9,2,0,1,1,9,0,0,1,0,0,1,2,0,0,0,0,0,0,0
A,0,48,39,145,0,62,70,130,0,14,24,0,104,29,8,16,3,0,5,25,0,0,0,37,2,6,0,4,0,5,508,5,0,1,0,0,2,36,33,1,0,33,0,0,0,0,0,0,10,7,0,3,9,31,0,0,4,15,0,0,0,2,5,0,2,5,11,0,5,1,13,0,0,0,2,0,29,0,0,0,3,0,0,2,6,0,13,0,0,2,3,2,1,1,0,0,0,0,0,16
as,0,396,319,490,0,165,206,169,2,153,52,2,28,95,21,53,29,0,34,54,0,0,0,21,2,8,0,9,0,48,5,2210,0,0,0,4,43,119,4,22,0,28,0,0,3,0,7,2,41,20,2,4,12,1,7,0,31,38,5,0,0,9,10,1,8,7,9,0,25,21,5,0,0,3,15,0,0,0,0,0,24,4,0,1,17,62,11,0,13,7,4,0,1,0,0,0,0,6,0,2
Gaza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peace,0,6,3,4,0,1,2,2,0,4,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas,0,3,10,5,0,4,1,2,0,3,2,0,2,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West,0,8,6,7,0,3,11,5,1,3,2,0,6,4,0,1,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,46,2,0,0,2,0,4,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
says,0,360,235,318,0,117,125,125,3,106,53,0,23,71,26,28,39,0,21,125,1,0,0,6,2,22,0,12,0,15,2,43,0,1,1,2,1371,55,1,40,0,1,0,0,0,0,4,0,8,60,1,4,95,0,0,0,53,42,2,0,0,21,2,0,9,5,1,0,28,8,1,0,0,1,11,0,0,0,0,0,36,1,0,3,15,20,0,0,12,0,0,0,1,0,1,0,0,10,0,2
US,0,390,550,311,0,250,231,540,0,206,102,1,177,160,46,132,36,0,26,122,0,0,0,15,0,27,0,25,0,19,36,119,0,0,3,0,55,2137,40,12,0,75,0,0,0,0,3,0,34,27,1,12,29,23,8,0,29,11,3,0,0,0,30,0,7,9,44,0,43,1,40,0,0,0,15,0,11,0,0,0,3,6,0,23,15,34,22,0,3,11,14,1,9,0,2,0,0,0,0,13
In,0,21,8,125,0,23,6,55,0,11,12,0,100,23,3,1,17,0,0,6,1,0,0,8,0,1,0,0,0,1,33,4,0,0,0,0,1,40,454,9,0,28,0,0,0,1,0,0,9,3,0,5,3,37,2,0,0,2,1,0,0,0,2,0,0,2,16,0,4,1,8,0,0,0,6,0,34,0,0,0,2,0,0,5,14,2,16,0,0,3,0,0,2,0,0,0,0,1,0,19
Bank,0,175,53,100,6,218,42,30,9,66,9,0,8,13,5,18,21,0,15,17,0,0,0,4,1,4,0,0,0,8,1,22,0,0,1,2,40,12,9,459,0,3,0,0,0,0,3,1,11,9,1,0,25,2,1,1,4,5,0,0,0,0,11,0,1,1,2,0,7,4,3,0,0,0,132,0,10,0,0,0,12,0,0,2,2,3,3,0,2,1,0,0,0,0,0,0,0,2,0,0
killed,0,0,3,2,0,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Is,0,90,61,144,0,55,84,373,0,36,37,1,240,96,3,8,7,0,6,4,0,0,0,16,0,9,0,0,0,2,33,28,0,0,0,4,1,75,28,3,0,842,0,0,0,0,0,4,8,1,0,3,0,28,5,0,1,3,0,0,0,0,6,0,5,6,78,0,2,0,64,0,0,0,15,0,16,0,0,0,3,0,0,33,5,0,6,0,3,7,4,0,1,0,0,0,0,1,0,15
Abbas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Israel,",0,1,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Today,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Peace,0,4,1,2,0,2,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
support,0,92,8,27,0,20,18,8,0,8,6,0,1,0,6,0,1,0,0,3,0,0,0,2,0,0,0,2,0,2,0,7,0,0,0,0,4,3,0,3,0,0,0,0,0,0,129,0,4,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Israel's,0,5,3,6,0,3,4,2,0,4,4,0,1,3,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-,0,270,190,163,0,89,74,122,0,72,41,4,41,43,14,25,61,0,46,42,2,0,0,10,0,17,0,7,0,7,10,41,0,0,0,4,8,34,9,11,0,8,0,0,0,0,4,0,888,15,3,2,28,4,0,0,33,9,0,0,0,5,1,0,4,5,8,0,7,8,2,0,0,0,9,0,4,0,0,0,30,2,0,4,14,30,4,0,5,4,2,14,7,0,1,0,0,3,0,8
be,0,297,108,205,0,71,142,176,0,45,27,0,28,89,18,14,20,0,44,25,8,0,0,6,0,16,0,10,0,21,7,20,0,0,0,1,60,27,3,9,0,1,0,0,1,0,0,1,15,706,4,4,93,1,0,0,32,17,2,0,0,4,16,0,7,0,5,0,16,1,26,0,0,1,6,0,0,0,0,0,39,1,0,10,2,5,0,0,1,0,0,2,1,0,2,0,0,0,0,0
against,0,14,7,29,0,8,7,8,0,5,3,0,4,1,2,0,1,0,2,5,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,4,73,0,2,0,0,0,3,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,0,25,42,43,0,97,8,74,0,18,5,1,32,4,1,5,2,0,1,4,0,0,0,3,0,1,0,0,0,1,3,4,0,0,0,1,4,12,5,0,0,3,0,0,0,0,0,0,2,4,0,200,1,5,0,0,0,0,1,0,0,2,2,0,0,4,2,0,1,0,2,0,0,0,1,0,20,1,0,0,0,1,0,2,2,1,3,0,0,0,1,0,1,0,0,0,0,0,0,4
will,0,109,133,237,0,63,62,229,0,47,68,1,26,62,12,8,46,0,21,13,0,0,0,10,2,19,0,12,0,10,9,12,0,1,1,0,95,29,3,25,0,0,0,0,0,0,3,1,28,93,2,1,834,0,0,0,40,18,0,0,1,7,28,0,10,3,39,0,3,6,14,0,0,1,4,0,0,0,0,0,21,1,0,7,5,8,0,0,1,0,3,0,5,0,0,0,0,2,0,0
To,0,13,11,137,0,6,0,28,0,5,3,0,121,2,0,6,4,0,0,6,1,0,0,10,1,0,0,0,0,1,31,1,0,0,0,0,0,23,37,2,0,28,0,0,0,1,0,0,4,1,0,5,0,451,0,0,0,0,0,0,0,0,2,0,0,7,20,0,0,2,8,0,0,0,4,0,22,0,0,0,8,0,0,8,1,0,8,0,1,9,2,0,3,0,0,0,0,1,0,18
Week,0,34,12,14,0,7,8,39,0,4,3,0,4,7,1,2,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,8,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,28,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
visit,0,9,4,3,0,3,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
not,0,110,72,154,0,60,59,143,0,55,31,0,27,51,11,12,8,0,21,86,2,0,0,0,0,6,0,8,0,3,4,31,0,0,0,0,53,29,0,4,0,1,0,0,0,0,1,0,33,32,3,0,40,0,0,0,562,4,0,0,2,1,22,0,5,3,2,0,18,1,15,0,0,0,1,0,0,0,0,0,7,0,0,4,3,6,0,0,7,0,0,1,3,0,1,0,0,0,0,0
new,0,153,100,120,0,59,87,102,0,45,33,0,28,62,18,6,5,0,7,29,1,0,0,4,1,7,0,1,0,7,15,38,0,0,0,0,42,11,2,5,0,3,0,0,0,0,0,0,9,17,0,0,18,0,0,0,4,503,2,0,0,2,5,0,5,3,6,0,6,0,5,0,0,1,5,0,0,0,0,0,3,0,0,3,1,13,3,0,0,0,1,2,0,0,0,0,2,1,0,0
calls,0,40,8,27,0,21,68,6,0,13,1,0,2,4,4,4,1,0,1,0,4,0,0,2,0,0,0,1,0,3,0,5,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,2,95,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sushma,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de,0,2,1,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,9,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
state,0,48,33,55,0,87,16,45,0,21,10,0,18,8,4,11,1,0,2,16,0,0,0,2,0,4,0,1,0,8,2,9,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,4,0,2,7,0,0,0,1,2,1,0,0,209,3,0,1,0,2,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,0,137,86,125,1,67,36,105,1,32,59,0,40,46,13,13,18,0,15,52,3,0,0,4,1,10,0,1,0,4,5,10,0,2,0,0,2,30,2,11,0,6,0,0,0,1,1,3,1,16,5,2,28,2,1,0,22,5,1,0,1,3,471,0,4,1,15,0,4,0,7,0,0,0,6,0,1,0,0,0,7,0,0,4,7,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0
flooding,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
into,0,55,18,73,0,15,10,67,0,9,14,0,6,12,6,4,14,0,4,12,0,0,0,5,1,8,0,0,0,7,2,8,0,0,0,0,9,7,0,1,0,5,0,0,0,0,0,0,4,7,0,0,10,0,0,1,5,5,1,0,1,1,4,0,296,0,2,0,4,4,4,0,0,0,2,0,0,0,0,0,5,0,0,2,1,2,0,0,1,4,0,0,0,0,0,0,0,1,0,0
