title,postexcerpt
National Space Council to seek industry input on future regulatory framework,The National Space Council plans to hold “learning sessions” with industry in coming weeks on how to develop a new regulatory framework for novel commercial space activities.
"Space Development Agency still hoping to launch satellites next month, ‘but there’s risk’",The Space Development Agency remains optimistic it will launch next month the first satellites of a planned mesh network of sensors and communications nodes in low Earth orbit
Redwire back on acquisition trail with deal for QinetiQ Space,"British defense firm Qinetiq is selling its Belgian commercial satellite systems division to Redwire, a U.S.-based consolidator of space infrastructure."
Space Force studying requirements for cislunar space domain awareness,The Space Force expects to know by next spring what capabilities it will need to carry out space domain awareness activities in cislunar space.
Space Force official: We need the Commerce Department’s space traffic office to be successful,"Maj. Gen. DeAnna Burt said discussions between DoD and the Department of Commerce are picking up momentum as both agencies work to figure out how to transition space traffic management to the Office of Space Commerce."
Space Force procurement chief emphatic about the ‘need for speed’,"Frank Calvelli, assistant secretary of the Air Force for space acquisition and integration, told an audience of space entrepreneurs that he is trying to drive a sense of urgency in military procurements."
Space Force opens door to Blue Origin with new cooperative agreement,The U.S. Space Systems Command signed an agreement with Blue Origin that “paves the way” for the company’s New Glenn rocket to compete for national security launch contracts
General Dynamics wins ground systems contract for Space Development Agency’s megaconstellation,General Dynamics Mission Systems won a $324.5 million contract to operate the ground systems and manage network operations of the Space Development Agency’s low Earth orbit constellation.
New head of AFRL space vehicles looking for talent to help push technology forward,"AFRL is looking to shore up its technical workforce and to partner with private companies, said Col. Jeremy Raley, head of the space vehicles directorate"
Microsoft reveals Azure Space Partner Community,"Microsoft is expanding its relationships with space companies through the Azure Space Partner Community, an initiative unveiled July 19 at the Microsoft Inspire 2022 conference."
"Venus orbiter, lunar constellation and exoplanets telescopes among candidates as China selects new space science missions","\"The Chinese Academy Sciences is preparing to select a new batch of space missions from proposals to study Earth, the Sun and solar system, and the deeper universe as part of a \"\"New Horizons Program.\"\"\""
Space Force wargame challenges satellite operators to think critically,"At the Space Flag exercise, Space Force guardians conduct simulated operations that mimic a real-world conflict"
Space Force orders new weather satellite from Ball Aerospace,The U.S. Space Force has ordered a second environmental satellite known as the Weather System Follow-on Microwave
Space Force lays out timeline for 2023 rapid-response launch experiment,The Space Force's 'Space Safari' office is laying out a timeline for a tactically responsive launch mission projected to launch in 2023
Space Force orders three GPS satellites for $744 million,The U.S. Space Force announced Nov. 28 it has ordered three GPS 3F satellites from Lockheed Martin for $744 million.
Microsoft continues expanding Azure Space,Microsoft is continuing to expand its role in the space sector on multiple fronts with a strategy built around partnerships.
"Defense, Commerce Departments select companies to prototype space traffic management solutions",The Office of Space Commerce and the Department of Defense announced Dec. 6 they have selected six commercial firms to prototype space traffic data platforms
China prepares for July 24 launch of second space station module,China is gearing up to send a second module to its under-construction space station with a launch from the coastal Wenchang spaceport later this month.
House Appropriations Committee warns of cost pressures in Space Force programs,The House Appropriations Committee in a report accompanying the fiscal year 2023 defense appropriations bill warned about schedule and cost risks in Space Force acquisition programs.
China to use space station to test space-based solar power,China intends to use its newly-completed Tiangong space station to test key technologies required for space-based polar power.
Air Force completes draft environmental review of U.S. Space Command candidate locations,"A draft environmental assessment said the proposed relocation of U.S. Space Command to Redstone Arsenal, Alabama, would have “no significant impacts on the human or natural environment.”"
"Amazon, Microsoft, SpiderOak join Defense Innovation Unit’s hybrid space network project","The Defense Innovation Unit on Nov. 2 announced new agreements with Amazon Web Services, Kuiper Government Solutions, Microsoft Azure Space and SpiderOak Mission Systems."
Sierra Space establishes national security advisory group,"Sierra Space has created a group of former government officials, including a retired vice chairman of the Joint Chiefs of Staff and a NASA deputy administrator, to advise the company as it seeks to win national security business."
Space Development Agency’s first launch slips to March due to satellite glitch,The first launch of the Space Development Agency’s constellation planned for mid-December will slip to March 2023 due to an anomaly detected in York Space’s satellites.
Private industry aims to fill demand for space threat intelligence,Private companies hope to overcome obstacles that have prevented the DoD from leveraging commercial space technology to meet the U.S. government’s need for more knowledge of space threats.
Space Force nominee sees growing threats to U.S. satellites from rival powers,"Lt. Gen. B. Chance Saltzman testified at a confirmation hearing Sept. 13 to be the next chief of space operations of the U.S. Space Force"
NASA releases first color image from James Webb Space Telescope,"A deep field of distant galaxies, some dating back to the first billion years after the Big Bang, is the first full-color image to come from the James Webb Space Telescope."
House appropriator discusses space priorities,A key House member outlined his priorities for NASA and civil space activities that he says are necessary to compete in a new “space race” with China.
Space Force rolls out cybersecurity standards for commercial providers of satellite services,The Space Systems Command announced May 26 the official rollout of a new process to assess the cybersecurity of commercial satellite operators that do business with the Defense Department.
Startup Wallaroo Labs wins Space Force contract to model performance of AI on edge devices,Wallaroo Labs won a Phase 1 Small Business Innovation Research study contract from the U.S. Space Force to model the performance of machine learning and artificial intelligence algorithms during space missions.
UAE announces plans for radar satellite constellation and space fund,The United Arab Emirates will develop a radar satellite constellation as part of a new fund worth more than $800 million to support the country’s space sector.
Saltzman takes command as new chief of the U.S. Space Force,"Gen. B. Chance Saltzman assumed command of the U.S. Space Force, and departing chief Gen. John “Jay” Raymond retired Nov. 2."
"Boeing reorganizes defense unit, Kay Sears to lead space and launch business","Boeing is reorganizing its defense and space business, a sector of the company that last month reported nearly $3 billion in losses in the third quarter."
Europe seeks greater autonomy and independence in space,European space officials are stressing a need for greater autonomy and sovereign capabilities going forward in the wake of geopolitical trends and developments.
Northrop Grumman gets $22 million Space Force contract to build small-satellite carrier bus,"Northrop Grumman won a sole-source award for a satellite called ROOSTER, short for Rapid On-orbit Space Technology Evaluation Ring"
Analysis: Space Force budget growth could be short lived,"Military space funding has increased every year since 2018 but that growth may not be sustainable, says a new report from the consulting firm Avascent."
New Space Force procurement shop subscribes to the space-as-a-service model,The Space Force is bucking traditional military procurement programs with a shop built to buy technologies that the space industry provides as a service.
Space Force establishes intelligence unit to put sharper focus on orbital threats,"The Space Force on June 24 established Space Delta 18, a unit that will run the National Space Intelligence Center at Wright Patterson Air Force Base"
NASA criticizes Russia for using space station to promote invasion of Ukraine,"NASA strongly criticized Russia for using the International Space Station to promote its invasion of Ukraine, a break from the agency’s approach of emphasizing ongoing cooperation despite the war."
Saltzman tapped to succeed Raymond as chief of the U.S. Space Force,"President Biden has nominated Lt. Gen. B. Chance Saltzman, U.S. Space Force deputy chief of operations, for promotion to four-star general and selected to become chief of space operations"
U.S. Space Command basing decision approaching final stretch,The head of U.S. Space Command said he expects a final decision to be made relatively soon on where the command will be permanently headquartered.
KMI wins three Space Force study contracts for debris cleanup technology,"Kall Morris Inc. announced Sept. 7 it received three study contracts for debris-remediation technologies under the Space Force’s Orbital Prime program."
Relativity Space expands engine test facilities at Stennis,"Launch vehicle developer Relativity Space will expand its engine test site at NASA’s Stennis Space Center, the second company in as many months to announce new or expanded facilities there."
Sierra Space and U.S. military to explore using Dream Chaser for point-to-point cargo delivery,Sierra Space signed an agreement with the U.S. Transportation Command to explore using Dream Chaser for point-to-point delivery of military cargo
Slingshot acquires Numerica’s space-tracking business and UK space data firm Seradata,Slingshot Aerospace announced Aug. 3 it has acquired Numerica’s space-tracking business and UK space data firm Seradata
Near Space Labs offers free imagery for researchers,"Near Space Labs announced plans Sept. 7 to provide free high-resolution Earth imagery to researchers, universities and nonprofit organizations."
Space Force delivers first of two U.S. payloads to launch on Space Norway’s arctic broadband mission,The U.S. Space Force delivered the first of two military communications payloads that will launch in 2023 on Space Norway’s Arctic Satellite Broadband Mission.
DoD space agency to acquire 10 satellites for experiments in low Earth orbit,"The Space Development Agency is looking to acquire as many as 10 satellites to host military payloads for experiments in low Earth orbit."
SpaceX launches new cargo Dragon spacecraft to space station,"A brand new SpaceX Falcon 9 successfully launched a new cargo Dragon spacecraft Nov. 26, carrying supplies, experiments and new solar arrays for the International Space Station."
NASA selects Falcon Heavy to launch Roman Space Telescope,"NASA has selected SpaceX to launch the Nancy Grace Roman Space Telescope on a Falcon Heavy, but at a price significantly higher than previous agency contracts."
"DoD updates space policy, formally adopts ‘tenets of responsible behavior’",The Defense Department released an updated policy document that recognizes space “as a priority domain of national military power” and formally adopts rules for safe operations in space.
Defense Innovation Unit seeks commercial options to deploy satellites in deep space,The Defense Innovation Unit is seeking proposals for commercial services to deploy and operate payloads in outer space beyond Earth orbit
Advisory panel to examine DoD’s demand for commercial space systems,The Pentagon’s top research official has directed the Defense Science Board to examine the military’s growing reliance on commercial space technology and its implications.
GAO: U.S. Space Command basing decision process fell short on ‘transparency and credibility’,GAO in a June 2 report said the Air Force’s basing selection process for U.S. Space Command lacked transparency and credibility.
Guetlein: improved space domain awareness essential for national security,"With space essential to military operations, better understanding of what objects are in orbit and the threats they may pose is “foundational” for space security, a Space Force general said."
Office of Space Commerce: FCC “aggressively” pushing limits of authority with orbital debris rule,"The FCC’s adoption of a new rule for disposal of low Earth orbit satellites is well-intentioned but pushing the limits of its authority, says the director of the Office of Space Commerce."
Astrobotic bids for Masten Space Systems assets,"Astrobotic Technology, a lunar lander developer, has made a formal bid for “substantially all” of the assets of Masten Space Systems, another lander company that filed for Chapter 11 bankruptcy last month."
ULA’s Atlas 5 launches U.S. Space Force experimental missile-warning satellite,"A United Launch Alliance Atlas 5 rocket on July 1 launched the USSF-12 mission for the U.S. Space Force. The rocket lifted off at 7:15 p.m. Eastern from Space Launch Complex-41 at Cape Canaveral Space Force Station, Florida."
Air Force scientist takes over as director of Space Force rapid procurement agency,"Former AFRL directed energy director Kelly Hammett on June 6, 2022, took over as head of the Space Rapid Capabilities Office"
SmallSat Alliance unveils Collegiate Space Competition,The SmallSat Alliance is inviting U.S. university students to propose space-related solutions for formidable technical and policy challenges as part of the Collegiate Space Competition.
Epsilon3 raises $15 million for space project management platform,Software startup Epsilon3 said June 20 it has raised $15 million to expand its suite of space project management solutions.
Sending DNA-infused Space Crystals to the moon,Space Crystals plans to send crystals grown in microgravity and infused with customer DNA to the moon next year.
China is considering expanding its Tiangong space station,"China is already considering adding modules to its recently-completed Tiangong space station complex, according to a senior space official."
Axiom Space to fly Saudi astronauts,"Axiom Space will fly two astronauts from Saudi Arabia, one of them a woman, to space as soon as next year, the company and the Saudi government announced Sept. 22."
Cygnus arrives at space station despite solar array problem,A Northrop Grumman Cygnus cargo spacecraft arrived at the International Space Station Nov. 9 despite having only one of its two solar arrays deployed.
Scout wins defense contract to demonstrate utility of commercial data from sensors in space,Startup Scout Space won a Phase 2 Small Business Innovation Research contract from the U.S. Space Force to augment military systems with commercial data from space-based sensors
"Kayhan, Astroscale, UT Austin win Space Force study contract for in-orbit servicing technology","Kayhan Space, and partners Astroscale US and the University of Texas at Austin, won a U.S. Space Force contract to develop software for in-orbit servicing vehicles."
Space Force to establish intelligence unit at Wright-Patterson Air Force Base,"The U.S. Space Force on June 24 plans to formally establish the National Space Intelligence Center at Wright-Patterson Air Force Base, Ohio."
Lockheed Martin’s venture fund to increase investments in space companies,"Lockheed Martin Ventures is increasing investments by $200 million and much of that will be focused on the space domain"
Scout Space and university labs win contracts for on-orbit servicing project,"Scout Space, a startup developing technologies for in-space services, won two U.S. Space Force contracts in support of the debris-cleanup project known as Orbital Prime"
Azure Orbital Space unveils software tools for space applications,"Microsoft announced the private preview Nov. 17 of a new product, the Azure Orbital Software Development Kit, the latest move by the software giant to play an important role role in the rapidly evolving space sector."
Space Force extends Saber Astronautics’ contract for space visualization software,"Saber Astronautics announced Sept. 5 the U.S. Space Force has extended the company’s contract to develop a space domain awareness tool designed for satellite operators."
SAIC to build small satellites with startup Rogue Space,"SAIC is partnering with startup Rogue Space Systems to develop small satellites for in-space services, the companies announced Sept. 20."
"Open Cosmos unveils OpenConstellation, shared space infrastructure","British small satellite startup Open Cosmos announced plans Sept. 21 for OpenConstellation, shared space infrastructure designed to offer partners access to satellite data."
Investors take long-term view of space industry amid near-term challenges,"Despite near-term headwinds in the economy and the markets, executives and investors remain bullish about the space industry’s long-term prospects."
China begins launch campaign for final space station module,Work to assemble a Long March 5B heavy-lift rocket is underway at Wenchang spaceport as China prepares to complete the construction of its Tiangong space station.
FCC proposes new bureau for space activities,The chairwoman of the Federal Communications Commission announced plans Nov. 3 to reorganize the agency and create a bureau devoted to its increasing work with space systems.
Chinese megawatt-level space nuclear reactor passes review,"A Chinese nuclear reactor for providing power and propulsion in outer space has passed a comprehensive performance evaluation, according to reports."
"Second module docks at China’s space station, large rocket stage tracked in orbit","China added a new experiment module to its space station Sunday, following a high-profile launch from the country’s coastal spaceport."
Space Force effort to open doors to private sector is a slow go,Companies seeking help through the Space Systems Command 'Front Door' initiative can expect to wait several days for a response
Parallel Paths for Space Sustainability,The United States' announcement of a ban on destructive ASAT tests set the stage for a UN meeting on reducing space threats.
Rocket from Chinese space station module launch predicted to make uncontrolled reentry Nov. 4,"The large first stage of the Long March 5B rocket which sent the Mengtian space station module into orbit earlier this week is set for an uncontrolled reentry Friday, Nov. 4."
Space Force to recompete contract for integration of rideshare payloads,The Space Force is researching industry interest in the follow-on to the $94 million Launch Manifest Systems Integration contract that Parsons Corp. won in 2019
Sierra Space hires former SpaceX executive as CIO,Sierra Space has hired a former SpaceX executive as its chief information officer as the company builds up its infrastructure to support work on commercial spacecraft and a space station.
Space companies face difficult investment environment,"Rising interest rates are making it more difficult for space startups to raise money, some warn, forcing them to seek alternative sources of funding."
Space Force delivers final payload for Space Norway’s arctic broadband mission,The U.S. Space Force announced Nov. 28 it delivered the second and final military communications payloads that will launch in 2023 on Space Norway’s Arctic Satellite Broadband Mission
Sierra Space signs agreement for Dream Chaser landings at Spaceport America,Sierra Space will work with Spaceport America in New Mexico to use that commercial spaceport as a potential future landing site for the company’s Dream Chaser vehicle.
Shenzhou-14 crewed mission arrives at Chinese space station,"China’s Shenzhou-14 crewed spacecraft docked with the Tianhe space station module early Sunday, marking the start of a crucial six-month-long mission."
Space Command promotes role in Artemis 1,"As Artemis 1 nears its conclusion, U.S. Space Command is using the mission to highlight its role in supporting NASA, even as the space agency considers alternatives to some of those services."
Cognitive Space gets $1.2 millionU.S. Air Force contract extension for satellite-tasking software,Cognitive Space won a $1.2 million contract extension to continue development of the company’s satellite tasking software for the Air Force Research Laboratory.
Aerospace opens $100 million facility in Colorado Springs for military space activities,"Aerospace Corp. unveiled a 90,000-square-foot Space Warfighting Center to provide high-tech tools for military space agencies"
FAA and NTSB reach new agreement on commercial space investigations,The Federal Aviation Administration and the National Transportation Safety Board (NTSB) have signed a new agreement outlining their roles investigating commercial space accidents.
China outlines pathway for lunar and deep space exploration,"China has laid out its pathway for robotic and crewed lunar and deep space exploration, with a number of missions building towards a permanent moon base."
Lockheed Martin Space leader aims to speed things up,"Robert Lightfoot, Lockheed Martin Space executive vice president, discussed the pace of innovation and partnerships at the Satellite Innovation 2022 conference"
NASA gives green light for space station spacewalks to resume,NASA is ready to resume spacewalks outside the International Space Station after completing an investigation of water found in a spacesuit during a spacewalk earlier this year.
France to increase space spending by 25%,France will increase spending on national and European space programs as the European Space Agency works to secure commitments for its own significant budget increase.
U.S. Space Force chief: The use of space technology in Ukraine ‘is what we can expect in the future’,"The war in Ukraine has put on display military forces’ growing reliance on satellites and has created incentives to disrupt opponents’ access to space systems, said Gen. B. Chance Saltzman, chief of space operations of the U.S. Space Force"
Roman Space Telescope top challenge for new NASA astrophysics director,The person tapped to be the next head of NASA’s astrophysics division says his top priority is to keep the agency’s next large space telescope on schedule and within its budget.
Office of Space Commerce on a “listening tour” for civil space traffic management,The new head of the Office of Space Commerce says he’s talking with industry on how his office can best take over civil space traffic management while also potentially taking on more regulatory responsibilities.
Atlas Space Operations upgrades user interface to ease scheduling,Atlas Space Operations upgraded its user interface to make it easier for customers to schedule communications with their satellites and to quickly confirm whether data was transmitted.
Tracking debris and space traffic a growing challenge for U.S. military,"Gen. James Dickinson, head uf U.S. Space Command, said space traffic management should be transferred to a civilian agency as soon as possible"
"GeoOptics, PlanetIQ and Spire to supply NOAA with space weather data","The National Oceanic and Atmospheric Administration awarded contracts to GeoOptics, PlanetIQ and Spire Global to provide space weather data."
Ball Aerospace wins $176 million contract to build and operate 10 satellites for Space Development Agency,"The Space Development Agency announced Oct. 4 it awarded Ball Aerospace a $176 million contract to build, operate and secure launch services for 10 experimental satellites."
European parliamentarian seeks to build up ties between U.S. and E.U. in space,A member of the European Parliament is touring the United States to help enhance space policy relationships while also promoting an effort to develop a European space law.
New head of Space Force acquisitions looks to get back to basics,"Frank Calvelli, assistant secretary of the Air Force for space acquisition and integration, told SpaceNews one of his priorities is to impose discipline in procurement programs"
Army looking at new ways to use space technology for unconventional warfare,"Army officials at the Space and Missile Defense Symposium said space and cyber technologies should be used in support of special operations and information warfare"
Commerce and Defense Departments sign agreement on space traffic management cooperation,The Departments of Commerce and Defense have signed an agreement to cooperate on transferring responsibility for civil and commercial space traffic management.
Advanced Space wins $72 million Air Force contract for lunar experiment,"The Air Force Research Laboratory awarded a $72 million contract to Advanced Space to develop an experimental spacecraft to monitor deep space, far beyond Earth’s orbit."
Soyuz leak cancels space station spacewalk,A coolant leak in a Soyuz spacecraft docked to the International Space Station Dec. 14 forced flight controllers to cancel a Russian spacewalk there and raised questions about the spacecraft’s ability to return to Earth safely.
Rocket Lab to supply solar power units for U.S. Space Force missile warning satellites,Rocket Lab's solar power business will supply solar cells for three missile-warning satellites that Lockheed Martin is building for the U.S. Space Force.
Space surveillance telescope developed by the U.S. begins operations in Australia,"The Space Surveillance Telescope, declared operational Sept. 30, will join the network of sensors used by the United States, Australia and other allies to track objects in orbit"
Shenzhou 15 astronauts arrive at China’s space station for first crew handover,China has six astronauts aboard its recently-completed space station for the first time following the arrival of three crew members aboard Shenzhou-15.
U.S. Army signs agreement to test space data from HawkEye 360 satellites,"The U.S. Army has signed an agreement to evaluate the use of space data from HawkEye 360, an Earth observation company that uses satellites to monitor radio-frequency signals emitted by electronic devices"
Schiess takes over U.S. Space Command’s coalition forces component,"Space Force Maj. Gen. Douglas Schiess on Aug. 22 assumed command of U.S. Space Command’s Combined Force Space Component Command at Vandenberg Space Force Base, California."
York Space wins $200 million Space Development Agency contract for 12 satellites,York Space won a $200 million contract for the Space Development Agency's Tranche 1 Demonstration and Experimentation System (T1DES) program
CAS Space puts six satellites in orbit with first orbital launch,Chinese launch services provider CAS Space successfully placed six small satellites in orbit early Wednesday with the first launch of the Lijian-1 solid rocket.
"L3Harris, Northrop Grumman to build 28 missile-tracking satellites for U.S. Space Development Agency",The Space Development Agency awarded contracts to L3Harris Technologies and Northrop Grumman to each build 14 missile-tracking satellites.
Arianespace partners with Australian space tug startup,"Arianespace is exploring the compatibility of its rockets with orbital transfer vehicles being developed by Space Machines Company, an Australian startup."
AFRL developing ‘cyber range’ for space operators,"AFRL is developing a cyber training range where Space Force operators could practice defending satellites using actual spacecraft in orbit"
New tri-agency office to coordinate U.S. missile-defense space programs,"The Space Systems Command, the Space Development Agency and the Missile Defense Agency have formed a new program office to coordinate disparate procurements of satellites to detect ballistic and hypersonic missiles."
Lawmakers press Air Force for final decision on U.S. Space Command,Colorado’s senators in a Sept. 27 to Air Force Secretary Frank Kendall argue that a final basing decision on U.S. Space Command needs to be made as soon as possible in light of the Ukraine conflict and China’s expansion in the Pacific
"NASA, Space Force resolve SLS flight termination system issue",NASA and the U.S. Space Force have resolved an issue with the flight termination system on the Space Launch System that could have cut short the vehicle’s inaugural launch campaign.
"Firefly, Millennium Space selected for U.S. Space Force rapid-launch demonstration","The U.S. Space Systems Command announced Sept. 30 it selected Firefly Space Transport Services and Millennium Space Systems to conduct a demonstration of a rapid-response space mission to low Earth orbit in 2023."
Sierra Space to start astronaut training program,Sierra Space is creating an astronaut training program led by a company executive and former NASA astronaut as another step in developing a crewed version of its Dream Chaser vehicle and a commercial space station.
Senate NDAA directs independent review how the Space Force acquires technologies,"In its proposed 2023 National Defense Authorization Act, the Senate Armed Services Committee directs the Pentagon’s outside business advisors to review the acquisition process for space programs"
Sidus Space could launch LizzieSat-1 without thrusters,Sidus Space could launch LizzieSat-1 without thrusters if it can’t get safety clearances in time to deploy its first satellite from the International Space Station early next year.
"For U.S. Space Force, Raymond’s retirement marks the end of an era",The first chief of space operations Gen. John 'Jay' Raymondretires Nov. 2 after 38 years of military service
"NASA, companies reject concerns over commercial space station development schedules",Both NASA and the companies selected by the agency to begin development of commercial space stations say they don’t share concerns raised by watchdogs that such stations may not be ready by the time the International Space Station is retired.
Space Perspective acquires ship for ocean-based balloon launch platform,"Space Perspective, a company offering tourist flights into the stratosphere, is buying a ship it plans to use as an oceangoing launch platform for its balloons."
Morpheus Space raises $28 million in Series A round,Morpheus Space raised $28 million in a Series A funding round announced Sept. 14.
Space Force in discussions with industry on future market for space surveillance data,"Companies in the space domain awareness market are eager to work with the Space Force but need a clearer picture of future demand"
UK’s ‘Astra Carta’ movement sees space sustainability as chance to lead,"The U.K. sees satellite servicing, debris removal and orbital sustainability as an opportunity to emerge as a major global space power."
U.S. Space Command supports use of ‘responsive launch’ to deter China and Russia,"Gen. James Dickinson, head of U.S. Space Command, said the U.S. military should take advantage of commercially available launch options and vehicles that can operate from multiple locations"
Space Force establishes permanent presence in Indo-Pacific region,The Space Force on Nov. 22 formally established a unit within U.S. Indo-Pacific Command.
"As DoD grows more reliant on space industry, it needs to define the relationship",DoD and the intelligence community are laying out requirements for how they would use commercial space systems during wartime
Quantum Space announces first cislunar mission,"Quantum Space, a company founded earlier this year to develop spacecraft platforms in cislunar space, announced plans Oct. 26 for its first smallsat pathfinder mission that will collect space situational awareness data."
Chris Pearson takes the reins at Agile Space Industries,"Chris Pearson, former Roccor CEO and Redwire executive vice president, is the new CEO of Durango, Colorado-based propulsion startup Agile Space Industries."
US-UK special relationship deepens in space,U.S. and U.K. space officials are discussing steps to strengthen their partnership. It's a conversation that has gained momentum in recent month due to concerns that satellites are becoming military targets.
Sierra Space signs agreement with Turkish Space Agency,Sierra Space announced an agreement with the Turkish Space Agency and an affiliated company June 29 that could lead to cooperation on human spaceflight and lunar missions.
Space Force funds experiment on use of AI to predict satellite failures,"RS21, a data science startup developing artificial intelligence tools for autonomous space operations, won a U.S. Space Force contract to research the use of AI to predict satellite failures in orbit."
Space Development Agency is now officially part of the Space Force,"The Space Development Agency was officially transferred to the U.S. Space Force, Oct. 1."
Lamborn: ‘Merit on both sides’ of debate over Space National Guard,"Rep. Doug Lamborn (R-Colo.), a key congressional proponent of establishing a Space National Guard, said he would consider an alternative proposal endorsed by Space Force leaders and by the Biden administration."
Vast Space to develop artificial-gravity space station,"Vast Space, a Southern California startup founded by cryptocurrency billionaire Jed McCaleb, plans to establish an artificial-gravity space station in low Earth orbit."
LEOcloud and Axiom Space cooperate on edge processing in space,"LEOcloud, a startup focused on space-based edge computing, announced a strategic collaboration agreement Nov. 15 with commercial space station provider Axiom Space."
Space Force briefing on military space race catches Jeff Bezos’ attention,"U.S. Space Systems Command officials earlier this month gave an unclassified briefing to Blue Origin founder Jeff Bezos on the power competition taking place in the space domain."
Space Force shifting resources to intelligence and cybersecurity,"The U.S. Space Operations Command is assigning cybersecurity and intelligence specialists to work side-by-side with satellite operators so they’re better prepared to protect U.S. systems from electronic and physical threats, said Maj. Gen. Douglas Schiess."
Hyten: Space Force ‘hasn’t cracked the code’ on faster acquisitions,"Former vice chairman of the Joint Chiefs of Staff John Hyten said he worries the DoD bureaucracy and congressional overseers are making it difficult for the U.S. Space Force to acquire new technologies at the pace that is needed to keep up with adversaries."
Axiom taps Epsilon3 software platform for space station development,Californian startup Epsilon3 said Aug. 23 it is building a software platform to help Axiom Space manage plans to deploy commercial modules on the International Space Station in 2024.
U.S. Space Command creates new task force to coordinate space operations,"U.S. Space Command announced Nov. 15 it is adding a new component to its organization to help coordinate operations and speed up the delivery of space services to military forces in the field."
Report offers wide-ranging recommendations on space safety,"A new report by The Aerospace Corporation calls for a more holistic approach to space safety, from avoiding collisions in orbit to cybersecurity."
SpaceX launches Crew-5 mission to the space station,A SpaceX Crew Dragon spacecraft with four people on board is on its way to the International Space Station after a successful launch Oct. 5.
U.S. military waiting for industry to demonstrate space transportation concepts,U.S. Transportation Command is keeping an eye on space launch companies as they develop technology and mature concepts for point-to-point cargo delivery.
Final module docks at China’s Tiangong space station,"A third module has arrived at China’s space station, completing the construction of the country’s crewed orbital outpost."
‘State of the space industrial base’ report calls for national plan to compete with China,"\"The \"\"State of the Space Industrial Base 2022\"\" report urges the U.S. government to lay out a national strategy for space that embraces the private sector as a key partner"
ULA launches the last SBIRS U.S. Space Force missile warning satellite,"A United Launch Alliance Atlas 5 rocket carrying a U.S. Space Force missile-warning satellite lifted off Aug. 4 at 6:29 a.m. Eastern from Space Launch Complex-41 at Cape Canaveral Space Force Station, Florida."
Spaceflight’s chemically powered space tug heads for launch,"Spaceflight shipped its Sherpa-LTC2 orbital transfer vehicle Aug. 10 to Cape Canaveral in Florida, where it will make a second attempt to debut the chemically powered space tug on a SpaceX launch."
Virgin Orbit launches Space Force mission,Virgin Orbit successfully placed a set of payloads for the U.S. Space Force into orbit early July 2 in the company’s first nighttime launch.
Space Force establishes component at U.S. Central Command,U.S. Central Command on Dec. 2 activated a Space Force component known as U.S. Space Forces-Central
